,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
79,8,CO,5,METALS PROCESSING,CO,1996,8.19721
80,8,CO,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.56726
81,8,CO,7,OTHER INDUSTRIAL PROCESSES,CO,1996,1.6862
82,8,CO,8,SOLVENT UTILIZATION,CO,1996,0.00534
83,8,CO,9,STORAGE & TRANSPORT,CO,1996,0.07161
84,8,CO,10,WASTE DISPOSAL & RECYCLING,CO,1996,50.82767
85,8,CO,11,HIGHWAY VEHICLES,CO,1996,1356.19722
86,8,CO,12,OFF-HIGHWAY,CO,1996,393.22042
87,8,CO,14,MISCELLANEOUS,CO,1996,244.53413
88,8,CO,15,WILDFIRES,CO,1996,NA
89,8,CO,16,PRESCRIBED FIRES,CO,1996,NA
90,9,CT,1,FUEL COMB. ELEC. UTIL.,CO,1996,1.29242
91,9,CT,2,FUEL COMB. INDUSTRIAL,CO,1996,1.12281
92,9,CT,3,FUEL COMB. OTHER,CO,1996,28.44095
93,9,CT,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,NA
94,9,CT,5,METALS PROCESSING,CO,1996,NA
95,9,CT,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.0204
96,9,CT,7,OTHER INDUSTRIAL PROCESSES,CO,1996,0.01185
97,9,CT,8,SOLVENT UTILIZATION,CO,1996,0.00038
98,9,CT,9,STORAGE & TRANSPORT,CO,1996,NA
99,9,CT,10,WASTE DISPOSAL & RECYCLING,CO,1996,34.9599
100,9,CT,11,HIGHWAY VEHICLES,CO,1996,809.34899
101,9,CT,12,OFF-HIGHWAY,CO,1996,297.20903
102,9,CT,14,MISCELLANEOUS,CO,1996,0.76712
103,9,CT,15,WILDFIRES,CO,1996,NA
104,9,CT,16,PRESCRIBED FIRES,CO,1996,NA
105,10,DE,1,FUEL COMB. ELEC. UTIL.,CO,1996,0.97402
106,10,DE,2,FUEL COMB. INDUSTRIAL,CO,1996,4.34487
107,10,DE,3,FUEL COMB. OTHER,CO,1996,9.72528
108,10,DE,4,CHEMICAL & ALLIED PRODUCT MFG,CO,1996,10.91828
109,10,DE,5,METALS PROCESSING,CO,1996,NA
110,10,DE,6,PETROLEUM & RELATED INDUSTRIES,CO,1996,0.02959
111,10,DE,7,OTHER INDUSTRIAL PROCESSES,CO,1996,0.00037
112,10,DE,8,SOLVENT UTILIZATION,CO,1996,NA
