,State.Code,State.Name,Tier 1 Code,Tier 1 Description,Pollutant,year,Sum
77,8,CO,3,FUEL COMB. OTHER,SO2,1996,2.39298
78,8,CO,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,1.08871
79,8,CO,5,METALS PROCESSING,SO2,1996,0.32479
80,8,CO,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,1.64557
81,8,CO,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,4.18623
82,8,CO,8,SOLVENT UTILIZATION,SO2,1996,0.00702
83,8,CO,9,STORAGE & TRANSPORT,SO2,1996,0.00185
84,8,CO,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.20246
85,8,CO,11,HIGHWAY VEHICLES,SO2,1996,4.41902
86,8,CO,12,OFF-HIGHWAY,SO2,1996,4.73839
87,8,CO,14,MISCELLANEOUS,SO2,1996,0.25757
88,8,CO,15,WILDFIRES,SO2,1996,NA
89,8,CO,16,PRESCRIBED FIRES,SO2,1996,NA
90,9,CT,1,FUEL COMB. ELEC. UTIL.,SO2,1996,36.45895
91,9,CT,2,FUEL COMB. INDUSTRIAL,SO2,1996,4.23035
92,9,CT,3,FUEL COMB. OTHER,SO2,1996,2.10829
93,9,CT,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,0.00105
94,9,CT,5,METALS PROCESSING,SO2,1996,0.00043
95,9,CT,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,0.0504
96,9,CT,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,0.26916
97,9,CT,8,SOLVENT UTILIZATION,SO2,1996,0.00005
98,9,CT,9,STORAGE & TRANSPORT,SO2,1996,NA
99,9,CT,10,WASTE DISPOSAL & RECYCLING,SO2,1996,1.33327
100,9,CT,11,HIGHWAY VEHICLES,SO2,1996,3.29473
101,9,CT,12,OFF-HIGHWAY,SO2,1996,2.36545
102,9,CT,14,MISCELLANEOUS,SO2,1996,0.00032
103,9,CT,15,WILDFIRES,SO2,1996,NA
104,9,CT,16,PRESCRIBED FIRES,SO2,1996,NA
105,10,DE,1,FUEL COMB. ELEC. UTIL.,SO2,1996,42.16015
106,10,DE,2,FUEL COMB. INDUSTRIAL,SO2,1996,44.58153
107,10,DE,3,FUEL COMB. OTHER,SO2,1996,4.09441
108,10,DE,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,2.8178
109,10,DE,5,METALS PROCESSING,SO2,1996,NA
110,10,DE,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,0.54592
111,10,DE,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,0.02609
112,10,DE,8,SOLVENT UTILIZATION,SO2,1996,0.00123
113,10,DE,9,STORAGE & TRANSPORT,SO2,1996,0.001
114,10,DE,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.08076
115,10,DE,11,HIGHWAY VEHICLES,SO2,1996,0.93036
116,10,DE,12,OFF-HIGHWAY,SO2,1996,1.51376
117,10,DE,14,MISCELLANEOUS,SO2,1996,0.00016
118,10,DE,15,WILDFIRES,SO2,1996,NA
119,10,DE,16,PRESCRIBED FIRES,SO2,1996,NA
120,11,DC,1,FUEL COMB. ELEC. UTIL.,SO2,1996,0.89359
121,11,DC,2,FUEL COMB. INDUSTRIAL,SO2,1996,0.01471
122,11,DC,3,FUEL COMB. OTHER,SO2,1996,6.82959
123,11,DC,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,NA
124,11,DC,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,NA
125,11,DC,8,SOLVENT UTILIZATION,SO2,1996,NA
126,11,DC,9,STORAGE & TRANSPORT,SO2,1996,NA
127,11,DC,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.1662
128,11,DC,11,HIGHWAY VEHICLES,SO2,1996,0.36173
129,11,DC,12,OFF-HIGHWAY,SO2,1996,0.28073
130,11,DC,14,MISCELLANEOUS,SO2,1996,NA
131,11,DC,15,WILDFIRES,SO2,1996,NA
132,11,DC,16,PRESCRIBED FIRES,SO2,1996,NA
133,12,FL,1,FUEL COMB. ELEC. UTIL.,SO2,1996,649.84554
134,12,FL,2,FUEL COMB. INDUSTRIAL,SO2,1996,53.63522
135,12,FL,3,FUEL COMB. OTHER,SO2,1996,22.49833
136,12,FL,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,35.39126
137,12,FL,5,METALS PROCESSING,SO2,1996,0.02925
138,12,FL,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,0.65673
139,12,FL,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,13.89356
140,12,FL,8,SOLVENT UTILIZATION,SO2,1996,0.00002
141,12,FL,9,STORAGE & TRANSPORT,SO2,1996,0.05086
142,12,FL,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.62237
143,12,FL,11,HIGHWAY VEHICLES,SO2,1996,15.27266
144,12,FL,12,OFF-HIGHWAY,SO2,1996,15.09283
145,12,FL,14,MISCELLANEOUS,SO2,1996,0.12193
146,12,FL,15,WILDFIRES,SO2,1996,NA
147,12,FL,16,PRESCRIBED FIRES,SO2,1996,NA
148,13,GA,1,FUEL COMB. ELEC. UTIL.,SO2,1996,474.82484
149,13,GA,2,FUEL COMB. INDUSTRIAL,SO2,1996,54.76955
150,13,GA,3,FUEL COMB. OTHER,SO2,1996,4.11015
151,13,GA,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,1.251
152,13,GA,5,METALS PROCESSING,SO2,1996,1.63097
153,13,GA,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,0.20663
154,13,GA,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,21.34183
155,13,GA,8,SOLVENT UTILIZATION,SO2,1996,0.034
156,13,GA,9,STORAGE & TRANSPORT,SO2,1996,NA
157,13,GA,10,WASTE DISPOSAL & RECYCLING,SO2,1996,0.26609
158,13,GA,11,HIGHWAY VEHICLES,SO2,1996,10.90749
159,13,GA,12,OFF-HIGHWAY,SO2,1996,8.10442
160,13,GA,14,MISCELLANEOUS,SO2,1996,0.35847
161,13,GA,15,WILDFIRES,SO2,1996,NA
162,13,GA,16,PRESCRIBED FIRES,SO2,1996,NA
163,15,HI,1,FUEL COMB. ELEC. UTIL.,SO2,1996,38.55969
164,15,HI,2,FUEL COMB. INDUSTRIAL,SO2,1996,16.14645
165,15,HI,3,FUEL COMB. OTHER,SO2,1996,0.00826
166,15,HI,4,CHEMICAL & ALLIED PRODUCT MFG,SO2,1996,NA
167,15,HI,5,METALS PROCESSING,SO2,1996,NA
168,15,HI,6,PETROLEUM & RELATED INDUSTRIES,SO2,1996,2.05028
169,15,HI,7,OTHER INDUSTRIAL PROCESSES,SO2,1996,0.36343
