"","State Code","State","Tier 1 Code","pollutant","year","Sum"
"72","04","AZ","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"11.02188"
"73","04","AZ","08","SOLVENT UTILIZATION_CO",1996,"0.00032"
"74","04","AZ","08","SOLVENT UTILIZATION_SO2",1996,"0.00001"
"75","04","AZ","09","STORAGE & TRANSPORT_CO",1996,NA
"76","04","AZ","09","STORAGE & TRANSPORT_SO2",1996,NA
"77","04","AZ","10","WASTE DISPOSAL & RECYCLING_CO",1996,"79.86063"
"78","04","AZ","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.09808"
"79","04","AZ","11","HIGHWAY VEHICLES_CO",1996,"1084.92615"
"80","04","AZ","11","HIGHWAY VEHICLES_SO2",1996,"5.07651"
"81","04","AZ","12","OFF-HIGHWAY_CO",1996,"494.14342"
"82","04","AZ","12","OFF-HIGHWAY_SO2",1996,"4.66963"
"83","04","AZ","14","MISCELLANEOUS_CO",1996,"174.33091"
"84","04","AZ","14","MISCELLANEOUS_SO2",1996,"0.17903"
"85","04","AZ","15","WILDFIRES_CO",1996,NA
"86","04","AZ","15","WILDFIRES_SO2",1996,NA
"87","04","AZ","16","PRESCRIBED FIRES_CO",1996,NA
"88","04","AZ","16","PRESCRIBED FIRES_SO2",1996,NA
"89","05","AR","01","FUEL COMB. ELEC. UTIL._CO",1996,"8.93074"
"90","05","AR","01","FUEL COMB. ELEC. UTIL._SO2",1996,"95.5297"
"91","05","AR","02","FUEL COMB. INDUSTRIAL_CO",1996,"32.98697"
"92","05","AR","02","FUEL COMB. INDUSTRIAL_SO2",1996,"30.97789"
"93","05","AR","03","FUEL COMB. OTHER_CO",1996,"22.68795"
"94","05","AR","03","FUEL COMB. OTHER_SO2",1996,"1.26087"
"95","05","AR","04","CHEMICAL & ALLIED PRODUCT MFG_CO",1996,"41.85677"
"96","05","AR","04","CHEMICAL & ALLIED PRODUCT MFG_SO2",1996,"1.72609"
"97","05","AR","05","METALS PROCESSING_CO",1996,"5.70971"
"98","05","AR","05","METALS PROCESSING_SO2",1996,"30.76454"
"99","05","AR","06","PETROLEUM & RELATED INDUSTRIES_CO",1996,"0.89098"
"100","05","AR","06","PETROLEUM & RELATED INDUSTRIES_SO2",1996,"1.68043"
"101","05","AR","07","OTHER INDUSTRIAL PROCESSES_CO",1996,"15.78791"
"102","05","AR","07","OTHER INDUSTRIAL PROCESSES_SO2",1996,"6.72916"
"103","05","AR","08","SOLVENT UTILIZATION_CO",1996,"0.03774"
"104","05","AR","08","SOLVENT UTILIZATION_SO2",1996,"0.00345"
"105","05","AR","09","STORAGE & TRANSPORT_CO",1996,"0.04431"
"106","05","AR","09","STORAGE & TRANSPORT_SO2",1996,"0.00038"
"107","05","AR","10","WASTE DISPOSAL & RECYCLING_CO",1996,"42.00078"
"108","05","AR","10","WASTE DISPOSAL & RECYCLING_SO2",1996,"0.86479"
"109","05","AR","11","HIGHWAY VEHICLES_CO",1996,"913.63369"
"110","05","AR","11","HIGHWAY VEHICLES_SO2",1996,"3.62619"
